rank,feature,composite_score,pearson_avg_abs_r,spearman_avg_abs_rho,mi_avg_score,source
1,price,0.3527,0.4338,0.414,0.5143,elbow
2,competitor_price,0.2238,0.2959,0.2901,0.1914,domain
3,cogs_amt,0.2131,0.2786,0.2839,0.1701,domain
4,firm_demand,0.2022,0.2474,0.2717,0.2038,domain
5,unit_cost,0.001,0.0,0.0,0.008,domain
