team_name,team_id,month,total_market,competitor_demand,firm_demand,competitor_price,beginning_inventory,arrival_qty,units_sold,ending_inventory,in_transit,production_order,pipeline_units,months_of_cover,forecast_error,service_level,revenue_amt,cogs_amt,inventory_holding_amt,stockout_penalty_amt,forecast_made,price,ai_price,ai_forecast_qty,ai_production_order,unit_cost,revenue_growth,gross_margin,operating_profit,market_share,ms_momentum,ms_momentum_3mo,rpi,missed_demand,stockout_rate,fill_rate,ape,forecast_accuracy,mape,forecast_accuracy_avg,forecast_bias,avg_inventory,inventory_turnover,inventory_turnover_annualized,price_elasticity,cps,ppi
Team 1A,1,9,384.0,266,118,83.0,0,150,118,32,350,0,382.0,3.82,18,1.0,11800.0,5900.0,320.0,0.0,100,100.0,77.0,180,0,50.0,1.5213675213675213,0.5,5580.0,0.3072916666666667,-0.19891951345755693,-0.0520409891598916,0.20481927710843373,0,0.0,1.0,0.15254237288135594,0.847457627118644,0.18833659103882802,0.811663408961172,19.083333333333332,16.0,368.75,4425.0,-0.9788064696040151,0.040742550949138166,0.4170421737136073
Team 1A,1,10,302.0,194,108,91.0,32,350,108,274,50,50,324.0,2.7,-12,1.0,10800.0,5400.0,2740.0,0.0,120,100.0,91.0,130,100,50.0,-0.0847457627118644,0.5,2660.0,0.3576158940397351,0.05032422737306841,-0.048705149747948984,0.0989010989010989,0,0.0,1.0,0.1111111111111111,0.8888888888888888,0.18833659103882802,0.811663408961172,19.083333333333332,153.0,35.294117647058826,423.5294117647059,,-0.004977121388545227,0.5
Team 1A,1,11,350.0,166,184,100.0,274,0,184,90,200,150,290.0,2.230769230769231,54,1.0,16560.0,9200.0,900.0,0.0,130,90.0,95.0,118,200,50.0,0.5333333333333334,0.4444444444444444,6460.0,0.5257142857142857,0.1680983916745506,0.006501035196687359,-0.1,0,0.0,1.0,0.29347826086956524,0.7065217391304348,0.18833659103882802,0.811663408961172,19.083333333333332,182.0,50.54945054945055,606.5934065934066,-7.037037037037039,0.01680983916745506,0.4444444444444444
Team 1A,1,12,400.0,189,211,110.0,90,50,140,0,250,100,250.0,1.7857142857142858,71,0.6635071090047393,15400.0,7000.0,0.0,1420.0,140,110.0,88.0,133,300,50.0,-0.07004830917874394,0.5454545454545454,6980.0,0.5275,0.0017857142857142794,0.07340277777777776,0.0,71,0.33649289099526064,0.6635071090047393,0.33649289099526064,0.6635071090047393,0.18833659103882802,0.811663408961172,19.083333333333332,45.0,155.55555555555554,1866.6666666666665,0.6603260869565218,-0.0,0.3619129685480396
Team 1B,2,1,66.0,29,37,100.0,100,0,37,63,0,0,63.0,0.9264705882352942,-31,1.0,3330.0,1850.0,630.0,0.0,68,90.0,100.0,33,200,50.0,,0.4444444444444444,850.0,0.5606060606060606,,,-0.1,0,0.0,1.0,0.8378378378378378,0.16216216216216217,0.3296086735985136,0.6703913264014865,13.916666666666666,81.5,22.699386503067483,272.3926380368098,,,
Team 1B,2,2,84.0,48,36,81.0,63,0,36,27,50,50,77.0,2.566666666666667,6,1.0,3564.0,1800.0,270.0,0.0,30,99.0,90.0,31,100,50.0,0.07027027027027022,0.494949494949495,1494.0,0.42857142857142855,-0.132034632034632,,0.2222222222222222,0,0.0,1.0,0.16666666666666666,0.8333333333333334,0.3296086735985136,0.6703913264014865,13.916666666666666,45.0,40.0,480.0,-0.2702702702702695,0.029341029341029334,0.4372211599745061
Team 1B,2,3,104.0,73,31,81.0,27,0,27,0,130,80,130.0,5.652173913043479,8,0.8709677419354839,3105.0,1350.0,0.0,80.0,23,115.0,99.0,23,50,50.0,-0.12878787878787878,0.5652173913043478,1675.0,0.2980769230769231,-0.13049450549450547,,0.41975308641975306,4,0.12903225806451613,0.8709677419354839,0.25806451612903225,0.7419354838709677,0.3296086735985136,0.6703913264014865,13.916666666666666,13.5,100.0,1200.0,-0.8593750000000001,0.054775471442138096,0.43546086479356644
Team 1B,2,4,108.0,79,29,81.0,0,50,29,21,160,80,181.0,7.24,4,1.0,3335.0,1450.0,210.0,0.0,25,115.0,72.0,26,0,50.0,0.07407407407407418,0.5652173913043478,1675.0,0.26851851851851855,-0.029558404558404527,-0.09736251402918067,0.41975308641975306,0,0.0,1.0,0.13793103448275862,0.8620689655172413,0.3296086735985136,0.6703913264014865,13.916666666666666,10.5,138.0952380952381,1657.1428571428573,,0.012407231543034,0.548990119260674
Team 1B,2,5,134.0,56,78,89.0,21,80,78,23,80,0,103.0,1.8727272727272728,23,1.0,6240.0,3900.0,230.0,0.0,55,80.0,98.0,45,50,50.0,0.871064467766117,0.375,2110.0,0.582089552238806,0.31357103372028744,0.05117270788912581,-0.10112359550561797,0,0.0,1.0,0.2948717948717949,0.7051282051282051,0.3296086735985136,0.6703913264014865,13.916666666666666,22.0,177.27272727272728,2127.2727272727275,-5.551724137931035,0.03170943037620884,0.375
Team 1B,2,6,164.0,61,103,97.0,23,80,103,0,80,80,80.0,1.4814814814814814,49,1.0,8755.0,5150.0,0.0,0.0,54,85.0,78.0,54,150,50.0,0.4030448717948718,0.4117647058823529,3605.0,0.6280487804878049,0.045959228248998896,0.10999061913696061,-0.12371134020618557,0,0.0,1.0,0.47572815533980584,0.5242718446601942,0.3296086735985136,0.6703913264014865,13.916666666666666,11.5,447.82608695652175,5373.913043478261,5.128205128205128,0.005685677721525637,0.4117647058823529
